ID;Status;AnzeigeName;Title;Type-Id;PT/AT Version;ZulassungStatus;Zulassung Ab;Zulassung Bis;Abgekündigt Seit;Definiert in Release
ML-119539;final;Trust Service Provider X.509 (nonQES) – SMC-B;gemProdT_X509_TSP_nonQES_SMC-B_PTV_1.12.0-0;gemProdT_X509_TSP_nonQES_SMC-B;1.12.0-0;gültig (keine Neuzulassung);2019-06-28;2019-10-09;;R3.1.1
ML-119540;final;Trust Service Provider X.509 (nonQES) – SMC-B;gemProdT_X509_TSP_nonQES_SMC-B_PTV_1.12.2-0;gemProdT_X509_TSP_nonQES_SMC-B;1.12.2-0;gültig (keine Neuzulassung);2020-03-03;2020-06-30;;R3.1.3
ML-119450;final;Trust Service Provider X.509 (nonQES) – SMC-B;gemProdT_X509_TSP_nonQES_SMC-B_PTV_1.12.3-0;gemProdT_X509_TSP_nonQES_SMC-B;1.12.3-0;zulassungsfähig;2020-06-30;;;SMCB_CI_Maintenance_21_1
ML-119537;final;Trust Service Provider X.509 (nonQES) – SMC-B;gemProdT_X509_TSP_nonQES_SMC-B_PTV_1.8.0-0;gemProdT_X509_TSP_nonQES_SMC-B;1.8.0-0;gültig (keine Neuzulassung);2017-07-12;2017-12-05;;R1.6.4-1
ML-119538;final;Trust Service Provider X.509 (nonQES) – SMC-B;gemProdT_X509_TSP_nonQES_SMC-B_PTV_1.9.1-0;gemProdT_X509_TSP_nonQES_SMC-B;1.9.1-0;gültig (keine Neuzulassung);2017-12-06;2017-12-18;;R1.6.4-3
ML-119541;final;Trust Service Provider X.509 QES;gemProdT_X509_TSP_QES_PTV_1.8.1-0;gemProdT_X509_TSP_QES;1.8.1-0;gültig (keine Neuzulassung);2018-05-18;2018-10-26;;R2.1.2
ML-119542;final;Trust Service Provider X.509 QES;gemProdT_X509_TSP_QES_PTV_1.8.2-0;gemProdT_X509_TSP_QES;1.8.2-0;gültig (keine Neuzulassung);2018-10-26;2019-05-15;;R2.1.3
ML-119543;final;Trust Service Provider X.509 QES;gemProdT_X509_TSP_QES_PTV_1.9.0-1;gemProdT_X509_TSP_QES;1.9.0-1;gültig (keine Neuzulassung);2019-06-28;2019-10-09;;R3.1.1
ML-119544;final;Trust Service Provider X.509 QES;gemProdT_X509_TSP_QES_PTV_1.9.2-0 ;gemProdT_X509_TSP_QES;1.9.2-0 ;gültig (keine Neuzulassung);2020-03-03;2020-06-30;;R3.1.3
ML-119451;final;Trust Service Provider X.509 QES;gemProdT_X509_TSP_QES_PTV_1.9.3-0;gemProdT_X509_TSP_QES;1.9.3-0;zulassungsfähig;2020-06-30;;;R4.0.0
